order_id,order_date,customer_id,product_category,price,quantity,order_value,payment_method,city,state,customer_age
1,2024-02-02,2616,Sports,269,50,13384.74,credit_card,New York,NY,66.0
2,2024-10-10,1736,Grocery,66,0,660.00,debit_card,Los Angeles,CA,24.0
3,2024-08-27,2543,Sports,267,0,5073.00,credit_card,Chicago,IL,23.0
4,2024-06-09,2252,Toys,114,125,14289.61,credit_card,New York,NY,70.0
5,2024-06-07,1583,Fashion,729,16,11754.30,credit_card,Houston,TX,75.0
6,2024-11-10,2824,Toys,459,29,13347.47,debit_card,New York,NY,57.0
7,2024-02-01,1868,Fashion,446,24,10867.96,credit_card,Seattle,WA,75.0
8,2024-09-12,1301,Toys,477,0,2862.00,paypal,Los Angeles,CA,38.0
9,2024-03-14,2925,Beauty,55,1,45819.00,credit_card,Boston,MA,40.0
10,2024-02-04,2826,Sports,1710,0,23940.00,debit_card,Seattle,WA,28.0
11,2024-07-11,1099,Sports,462,31,14523.56,paypal,Denver,CO,67.0
12,2024-12-23,2804,Fashion,655,20,12875.85,debit_card,Phoenix,AZ,60.0
13,2024-09-26,2894,Beauty,401,0,6817.00,credit_card,Chicago,IL,32.0
14,2024-10-05,2658,Toys,914,15,13843.00,credit_card,Denver,CO,80.0
15,2024-09-19,1509,Sports,562,0,3372.00,credit_card,Houston,TX,19.0
16,2024-10-14,2262,Electronics,459,26,11984.26,credit_card,Boston,MA,66.0
17,2024-07-06,2076,Electronics,1534,0,23010.00,paypal,Boston,MA,31.0
18,2024-02-16,2240,Electronics,1721,9,14702.71,credit_card,Denver,CO,67.0
19,2024-11-03,2232,Beauty,107,0,963.00,credit_card,Miami,FL,
20,2024-06-13,2278,Beauty,275,0,275.00,paypal,Seattle,WA,32.0
21,2024-07-02,2028,Electronics,1098,0,10980.00,credit_card,Houston,TX,21.0
22,2024-05-15,2380,Electronics,506,27,13600.53,paypal,Phoenix,AZ,57.0
23,2024-03-07,2053,Beauty,418,0,8360.00,credit_card,Boston,MA,28.0
24,2024-12-05,1032,Sports,389,0,4279.00,credit_card,Seattle,WA,46.0
25,2024-10-13,1070,Fashion,309,35,10768.29,debit_card,New York,NY,77.0
26,2024-08-23,2916,Toys,459,28,12750.93,credit_card,Houston,TX,73.0
27,2024-05-27,2818,Home,1477,0,5908.00,paypal,Denver,CO,49.0
28,2024-10-28,2171,Home,532,21,11358.76,credit_card,Los Angeles,CA,64.0
29,2024-07-18,1349,Fashion,455,31,14166.80,credit_card,Phoenix,AZ,69.0
30,2024-06-11,2562,Grocery,69,203,13914.12,credit_card,San Francisco,CA,56.0
31,2024-06-13,1286,Beauty,354,0,354.00,credit_card,Los Angeles,CA,31.0
32,2024-03-24,1754,Home,1618,8,12472.73,debit_card,Miami,FL,69.0
33,2024-02-03,1659,Sports,1026,0,10260.00,credit_card,Boston,MA,23.0
34,2024-07-21,1024,Grocery,169,0,1859.00,credit_card,Houston,TX,50.0
35,2024-11-20,2614,Grocery,159,73,11509.63,paypal,San Francisco,CA,67.0
36,2024-01-24,2019,Beauty,457,0,8226.00,credit_card,Phoenix,AZ,53.0
37,2024-11-10,1632,Electronics,727,0,2908.00,debit_card,Los Angeles,CA,39.0
38,2024-10-29,2014,Home,467,0,3736.00,credit_card,Los Angeles,CA,44.0
39,2024-04-11,1000,Home,308,0,2156.00,paypal,Los Angeles,CA,46.0
40,2024-08-19,1873,Home,235,61,14263.43,credit_card,Seattle,WA,64.0
41,2024-03-01,2039,Home,123,116,14252.42,debit_card,Los Angeles,CA,80.0
42,2024-10-04,1679,Fashion,146,86,12526.18,credit_card,Houston,TX,67.0
43,2024-09-13,2660,Sports,497,0,5964.00,credit_card,Boston,MA,37.0
44,2024-05-09,1499,Fashion,404,0,2020.00,credit_card,San Francisco,CA,25.0
45,2024-01-25,1275,Fashion,227,0,2724.00,credit_card,Miami,FL,47.0
46,2024-12-21,2055,Home,586,23,13586.28,paypal,Seattle,WA,72.0
47,2024-06-12,2774,Home,389,29,11427.50,credit_card,Miami,FL,57.0
48,2024-11-22,1750,Grocery,234,0,936.00,cash,Phoenix,AZ,38.0
49,2024-09-05,1093,Toys,268,0,1340.00,credit_card,Los Angeles,CA,23.0
50,2024-10-11,2939,Home,959,0,9590.00,credit_card,Boston,MA,33.0
51,2024-10-05,1888,Beauty,287,41,11744.25,credit_card,Chicago,IL,63.0
52,2024-03-12,1345,Beauty,80,185,14720.28,credit_card,Denver,CO,60.0
53,2024-05-13,2231,Grocery,459,0,5967.00,paypal,Phoenix,AZ,46.0
54,2024-06-19,1639,Home,205,0,3075.00,credit_card,San Francisco,CA,39.0
55,2024-07-01,2875,Toys,280,0,4760.00,paypal,New York,NY,29.0
56,2024-01-17,1587,Grocery,54,254,13681.38,credit_card,Phoenix,AZ,79.0
57,2024-07-19,2100,Beauty,332,0,5312.00,credit_card,Phoenix,AZ,45.0
58,2024-02-26,2086,Home,188,55,10360.60,credit_card,Houston,TX,66.0
59,2024-09-29,1484,Grocery,99,0,1683.00,debit_card,Seattle,WA,47.0
60,2024-09-06,1998,Fashion,676,0,10140.00,credit_card,Miami,FL,53.0
61,2024-12-03,1218,Sports,1262,10,12288.67,paypal,Denver,CO,58.0
62,2024-09-29,2287,Sports,331,0,5296.00,credit_card,San Francisco,CA,
63,2024-05-14,2516,Beauty,248,48,11978.72,credit_card,Los Angeles,CA,77.0
64,2024-12-20,2900,Electronics,1698,0,22074.00,paypal,Denver,CO,46.0
65,2024-05-30,1651,Sports,2106,5,11154.95,debit_card,Phoenix,AZ,66.0
66,2024-04-29,1570,Beauty,75,200,14974.71,paypal,Phoenix,AZ,75.0
67,2024-11-27,2097,Sports,295,0,295.00,credit_card,New York,NY,42.0
68,2024-05-15,2385,Home,5181,0,20724.00,debit_card,Miami,FL,32.0
69,2024-01-28,2984,Electronics,1178,9,10678.96,credit_card,San Francisco,CA,79.0
70,2024-06-20,1050,Sports,135,86,11571.33,cash,Los Angeles,CA,67.0
71,2024-10-18,1476,Toys,192,74,14243.59,credit_card,San Francisco,CA,67.0
72,2024-03-10,1524,Sports,67,160,10661.37,paypal,New York,NY,77.0
73,2024-06-18,1510,Grocery,119,0,2261.00,credit_card,Denver,CO,19.0
74,2024-02-17,1927,Toys,584,20,11880.69,paypal,Los Angeles,CA,77.0
75,2024-09-08,2745,Sports,295,0,1475.00,paypal,Phoenix,AZ,25.0
76,2024-06-23,1061,Electronics,1006,0,14084.00,paypal,New York,NY,27.0
77,2024-04-30,2631,Sports,1279,0,12790.00,credit_card,San Francisco,CA,31.0
78,2024-03-24,2235,Home,136,0,1088.00,credit_card,Seattle,WA,25.0
79,2024-07-25,2230,Beauty,85,0,425.00,paypal,Denver,CO,23.0
80,2024-09-02,2356,Home,458,0,5496.00,debit_card,Houston,TX,25.0
81,2024-12-10,1230,Grocery,54,0,486.00,debit_card,New York,NY,48.0
82,2024-06-08,2493,Fashion,338,0,4732.00,credit_card,Miami,FL,41.0
83,2024-02-28,1496,Sports,222,0,2886.00,credit_card,Chicago,IL,39.0
84,2024-10-31,2033,Home,652,0,8476.00,credit_card,Miami,FL,28.0
85,2024-08-18,2353,Home,488,27,13170.96,debit_card,New York,NY,79.0
86,2024-09-13,2207,Grocery,152,0,1216.00,credit_card,Chicago,IL,38.0
87,2024-02-05,1646,Home,645,0,12900.00,credit_card,Miami,FL,47.0
88,2024-04-24,1792,Sports,725,0,725.00,paypal,Miami,FL,26.0
89,2024-10-08,1953,Grocery,458,0,7786.00,credit_card,Chicago,IL,31.0
90,2024-10-31,1082,Toys,453,0,4530.00,paypal,Chicago,IL,32.0
91,2024-06-08,2452,Electronics,1125,10,11684.48,credit_card,San Francisco,CA,79.0
92,2024-10-21,1199,Fashion,374,0,2244.00,credit_card,New York,NY,29.0
93,2024-11-04,1917,Fashion,989,0,6923.00,credit_card,Los Angeles,CA,50.0
94,2024-05-21,2309,Home,309,0,6180.00,credit_card,Denver,CO,52.0
95,2024-11-24,1160,Home,1620,0,11340.00,debit_card,Seattle,WA,22.0
96,2024-04-15,2991,Sports,1940,0,7760.00,credit_card,New York,NY,40.0
97,2024-03-28,1754,Fashion,787,0,12592.00,credit_card,San Francisco,CA,23.0
98,2024-09-06,1031,Fashion,195,0,1755.00,credit_card,Houston,TX,29.0
99,2024-08-21,2317,Fashion,74,162,12044.10,debit_card,Boston,MA,60.0
100,2024-02-21,2115,Fashion,1013,0,4052.00,paypal,Miami,FL,53.0
101,2024-10-31,2280,Home,609,0,5481.00,credit_card,Houston,TX,49.0
102,2024-03-14,2502,Sports,337,0,2359.00,credit_card,Houston,TX,31.0
103,2024-10-21,1951,Grocery,250,51,12750.57,credit_card,Seattle,WA,57.0
104,2024-01-03,2653,Sports,307,48,14763.43,debit_card,Houston,TX,74.0
105,2024-10-18,1740,Toys,218,66,14354.53,credit_card,Chicago,IL,71.0
106,2024-10-15,2090,Grocery,149,0,1490.00,credit_card,Boston,MA,-999.0
107,2024-10-12,1317,Toys,125,84,10559.81,paypal,Miami,FL,60.0
108,2024-08-31,2239,Home,504,0,4536.00,credit_card,Miami,FL,33.0
109,2024-06-21,1523,Fashion,1022,13,12847.15,paypal,Boston,MA,72.0
110,2024-09-15,2393,Sports,723,0,7953.00,credit_card,,,47.0
111,2024-04-11,2602,Sports,1657,8,13266.48,paypal,Denver,CO,64.0
112,2024-10-12,2717,Home,1361,0,6805.00,credit_card,San Francisco,CA,51.0
113,2024-07-22,2858,Electronics,1475,8,11628.81,credit_card,Denver,CO,60.0
114,2024-06-16,1244,Fashion,66,172,11320.99,credit_card,Chicago,IL,76.0
115,2024-07-04,1275,Grocery,457,0,914.00,credit_card,Chicago,IL,26.0
116,2024-07-27,2852,Beauty,450,29,12988.67,debit_card,Phoenix,AZ,74.0
117,2024-01-14,1761,Beauty,458,0,8244.00,credit_card,Miami,FL,48.0
118,2024-02-21,1052,Home,423,0,8037.00,credit_card,Los Angeles,CA,26.0
119,2024-03-30,1573,Fashion,564,0,2820.00,paypal,Chicago,IL,45.0
120,2024-02-11,2672,Toys,989,0,3956.00,credit_card,New York,NY,21.0
121,2024-06-09,1709,Sports,386,0,3860.00,debit_card,Seattle,WA,52.0
122,2024-09-01,1153,Fashion,256,0,1792.00,debit_card,,,47.0
123,2024-08-27,2444,Fashion,410,0,1230.00,credit_card,Phoenix,AZ,42.0
124,2024-06-21,1389,Electronics,1947,0,31152.00,debit_card,Boston,MA,45.0
125,2024-11-08,1705,Grocery,86,140,12074.89,paypal,New York,NY,57.0
126,2024-07-25,1007,Grocery,226,64,14525.32,paypal,Los Angeles,CA,70.0
127,2024-01-29,2203,Electronics,773,0,15460.00,credit_card,Miami,FL,42.0
128,2024-10-06,1890,Fashion,476,0,952.00,credit_card,Phoenix,AZ,19.0
129,2024-07-29,2734,Sports,872,0,7848.00,paypal,New York,NY,53.0
130,2024-08-20,1668,Beauty,177,61,10817.77,debit_card,Los Angeles,CA,77.0
131,2024-07-25,1409,Grocery,191,0,2292.00,credit_card,Boston,MA,42.0
132,2024-07-21,1331,Fashion,482,0,964.00,credit_card,Miami,FL,25.0
133,2024-02-03,1400,Beauty,459,22,10205.42,debit_card,San Francisco,CA,74.0
134,2024-07-23,1902,Grocery,114,0,456.00,paypal,Houston,TX,44.0
135,2024-10-17,1174,Beauty,331,0,5958.00,paypal,Denver,CO,41.0
136,2024-04-21,1804,Fashion,258,0,4128.00,paypal,Denver,CO,36.0
137,2024-08-08,2709,Beauty,148,98,14498.80,credit_card,Houston,TX,64.0
138,2024-01-12,2535,Fashion,1139,0,9112.00,debit_card,Los Angeles,CA,27.0
139,2024-05-07,2274,Electronics,2437,6,14480.62,credit_card,Denver,CO,56.0
140,2024-06-08,2786,Beauty,108,0,1296.00,credit_card,Houston,TX,39.0
141,2024-12-25,2560,Beauty,282,0,1974.00,credit_card,Phoenix,AZ,42.0
142,2024-03-19,2305,Fashion,458,0,2748.00,paypal,Denver,CO,31.0
143,2024-04-11,2726,Sports,386,31,12083.85,credit_card,,,68.0
144,2024-05-29,1248,Fashion,922,0,922.00,credit_card,San Francisco,CA,46.0
145,2024-12-29,2636,Electronics,1326,10,13769.45,credit_card,Chicago,IL,76.0
146,2024-11-08,1590,Grocery,107,132,14228.58,credit_card,Los Angeles,CA,70.0
147,2024-01-13,2466,Electronics,464,24,11274.45,credit_card,Houston,TX,65.0
148,2024-03-26,2826,Sports,446,0,6690.00,credit_card,Phoenix,AZ,46.0
149,2024-10-27,1992,Electronics,1921,7,13272.22,credit_card,Los Angeles,CA,77.0
150,2024-01-22,1177,Toys,443,0,5759.00,credit_card,San Francisco,CA,54.0
151,2024-11-09,1740,Grocery,457,0,3656.00,paypal,Miami,FL,45.0
152,2024-04-12,1813,Toys,258,0,516.00,debit_card,Miami,FL,39.0
153,2024-12-01,2873,Toys,268,51,13685.75,paypal,Boston,MA,75.0
154,2024-04-17,2885,Beauty,84,0,1344.00,credit_card,Miami,FL,34.0
